State_Measuring_network,Station_code,Station_name,Station_setting,Station_type,Annual_mean_value_in_mg_m3,Number_of_days_with_highest_daily_8_hour_averages_above_10_mg_m3,Year
Brandenburg,DEBB086,Blankenfelde-Mahlow,suburban area,background,0.26,0,2017
Bavaria,DEBY012,Burghausen/Marktler Straße,suburban area,background,0.24,0,2017
Bavaria,DEBY039,München/Lothstraße,urban area,background,0.28,0,2017
Bavaria,DEBY088,Trostberg/Schwimmbadstraße,suburban area,background,0.28,0,2017
Bavaria,DEBY099,Augsburg/LfU,suburban area,background,0.26,0,2017
Bremen,DEHB001,Bremen-Mitte,urban area,background,0.29,0,2017
Bremen,DEHB005,Bremerhaven-Hansastraße,urban area,background,0.22,0,2017
Bremen,DEHB012,Bremen-Oslebshausen,urban area,background,0.22,0,2017
Hesse,DEHE001,Darmstadt,urban area,background,0.23,0,2017
Hesse,DEHE018,Raunheim,urban area,background,0.32,0,2017
Hesse,DEHE042,Linden/Leihgestern,rural area,background,0.22,0,2017
Hamburg,DEHH033,Hamburg Flughafen Nord,urban area,background,0.17,0,2017
Mecklenburg-West Pomerania,DEMV004,Gülzow,rural area,background,0.2,0,2017
Rhineland-Palatinate,DERP001,Ludwigshafen-Oppau,urban area,background,0.27,0,2017
Rhineland-Palatinate,DERP007,Mainz-Mombach,urban area,background,0.23,0,2017
Rhineland-Palatinate,DERP009,Mainz-Zitadelle,urban area,background,0.31,0,2017
Rhineland-Palatinate,DERP019,Kaiserslautern-Rathausplatz,urban area,background,0.26,0,2017
Rhineland-Palatinate,DERP021,Neuwied-Hafenstraße,urban area,background,0.27,0,2017
Rhineland-Palatinate,DERP022,Bad Kreuznach-Bosenheimer Straße,urban area,background,0.28,0,2017
Rhineland-Palatinate,DERP025,Wörth-Marktplatz,urban area,background,0.25,0,2017
Saarland,DESL017,Völklingen-City Stadionstr.,urban area,background,0.34,0,2017
Saxony-Anhalt,DEST011,Wernigerode/Bahnhof,urban area,background,0.28,0,2017
Saxony-Anhalt,DEST105,Stendal Stadtsee,urban area,background,0.2,0,2017
UBA,DEUB030,Neuglobsow,rural regional,background,0.17,0,2017
UBA,DEUB044,Zugspitze Schneefernerhaus,rural secluded,background,0.1,0,2017
Brandenburg,DEBB032,Eisenhüttenstadt,suburban area,industry,0.23,0,2017
Lower Saxony,DENI070,Salzgitter-Drütte,rural area,industry,0.26,0,2017
Rhineland-Palatinate,DERP003,Ludwigshafen-Mundenheim,urban area,industry,0.31,0,2017
Saarland,DESL003,Dillingen City,urban area,industry,0.36,0,2017
Saxony-Anhalt,DEST015,Bitterfeld/Wolfen,suburban area,industry,0.23,0,2017
Brandenburg,DEBB045,Frankfurt (Oder),,,,,2017
Brandenburg,DEBB054,Potsdam,,,,,2017
Berlin,DEBE061,Berlin Schildhornstraße,urban area,traffic,0.39,0,2017
Berlin,DEBE065,Berlin Frankfurter Allee,urban area,traffic,0.38,0,2017
