State_Measuring_network,Station_code,Station_name,Station_setting,Station_type,Annual_mean_value_in_mg_m3,Number_of_days_with_daily_mean_values_above_125_µg_m,Number_of_hourly_mean_values_above_350_µg_m3,Year
Baden-Württemberg,DEBW004,Eggenstein,rural near town,background,1.3,0,0,2020
Baden-Württemberg,DEBW029,Aalen,suburban area,background,1.1,0,0,2020
Baden-Württemberg,DEBW031,Schwarzwald-Süd,rural regional,background,0.33,0,0,2020
Baden-Württemberg,DEBW005,Mannheim-Nord,suburban area,industry,3.1,0,0,2020
Brandenburg,DEBB021,Potsdam-Zentrum,urban area,background,1.5,0,0,2020
Brandenburg,DEBB064,Cottbus,urban area,background,1.6,0,0,2020
Brandenburg,DEBB066,Spreewald,rural regional,background,1.5,0,1,2020
Brandenburg,DEBB029,Schwedt (Oder),suburban area,industry,1.8,0,0,2020
Brandenburg,DEBB032,Eisenhüttenstadt,suburban area,industry,1.9,0,0,2020
Bremen,DEHB001,Bremen-Mitte,urban area,background,0.79,0,0,2020
Bremen,DEHB002,Bremen-Ost,urban area,background,1.1,0,0,2020
Bremen,DEHB004,Bremen-Nord,urban area,background,0.92,0,0,2020
Bremen,DEHB005,Bremerhaven-Hansastraße,urban area,background,1.2,0,0,2020
Bremen,DEHB012,Bremen-Oslebshausen,urban area,background,1.7,0,0,2020
Bremen,DEHB013,Bremen-Hasenbüren,rural regional,industry,1.4,0,0,2020
Hamburg,DEHH008,Hamburg Sternschanze,urban area,background,3.1,0,0,2020
Hamburg,DEHH059,Hamburg Wilhelmsburg,urban area,background,3.2,0,0,2020
Hamburg,DEHH079,Hamburg Altona Elbhang,urban area,background,3.4,0,0,2020
Hamburg,DEHH081,Hamburg Hafen,urban area,background,4.1,0,0,2020
Hamburg,DEHH015,Hamburg Veddel,urban area,industry,5.6,0,0,2020
Hamburg,DEHH016,Hamburg Billbrook,urban area,industry,4,0,0,2020
Hesse,DEHE001,Darmstadt,urban area,background,0.85,0,0,2020
Hesse,DEHE005,Frankfurt-Höchst,urban area,background,1.3,0,0,2020
Hesse,DEHE011,Hanau,urban area,background,0.85,0,0,2020
Hesse,DEHE013,Kassel Mitte,urban area,background,0.87,0,0,2020
Hesse,DEHE018,Raunheim,urban area,background,0.88,0,0,2020
Hesse,DEHE020,Wetzlar,urban area,background,0.92,0,0,2020
Hesse,DEHE022,Wiesbaden Süd,urban area,background,0.9,0,0,2020
Hesse,DEHE042,Linden/Leihgestern,rural area,background,1.1,0,0,2020
Hesse,DEHE045,Michelstadt,urban area,background,0.94,0,0,2020
Hesse,DEHE051,Wasserkuppe,rural area,background,0.82,0,0,2020
Hesse,DEHE060,Kellerwald,rural regional,background,0.84,0,0,2020
Mecklenburg-West Pomerania,DEMV004,Gülzow,rural area,background,0.89,0,0,2020
Mecklenburg-West Pomerania,DEMV007,Rostock-Stuthof,suburban area,background,0.94,0,0,2020
Mecklenburg-West Pomerania,DEMV012,Löcknitz,rural area,background,1,0,0,2020
Mecklenburg-West Pomerania,DEMV019,Güstrow,urban area,background,0.93,0,0,2020
Mecklenburg-West Pomerania,DEMV021,Rostock-Warnemünde,urban area,background,0.77,0,0,2020
Mecklenburg-West Pomerania,DEMV031,Rostock-Hohe Düne,urban area,industry,1.2,0,0,2020
Mecklenburg-West Pomerania,DEMV022,Rostock-Holbeinplatz,urban area,traffic,1.4,0,0,2020
Mecklenburg-West Pomerania,DEMV025,Stralsund-Knieperdamm,urban area,traffic,0.94,0,0,2020
Mecklenburg-West Pomerania,DEMV058,Neubrandenburg Woldegker Straße,urban area,traffic,1,0,0,2020
North Rhine-Westphalia,DENW002,Datteln-Hagem,suburban area,background,1.7,0,0,2020
North Rhine-Westphalia,DENW024,Essen-Vogelheim,urban area,background,3.8,0,0,2020
North Rhine-Westphalia,DENW040,Duisburg-Buchholz,suburban area,background,3.1,0,0,2020
North Rhine-Westphalia,DENW021,Bottrop-Welheim,urban area,industry,6.8,0,0,2020
North Rhine-Westphalia,DENW034,Duisburg-Walsum,urban area,industry,8.7,0,0,2020
North Rhine-Westphalia,DENW338,Duisburg-Bruckhausen,urban area,industry,8.9,0,2,2020
Rhineland-Palatinate,DERP001,Ludwigshafen-Oppau,urban area,background,1.3,0,0,2020
Rhineland-Palatinate,DERP007,Mainz-Mombach,urban area,background,1.1,0,0,2020
Rhineland-Palatinate,DERP009,Mainz-Zitadelle,urban area,background,1.1,0,0,2020
Rhineland-Palatinate,DERP013,Westpfalz-Waldmohr,rural area,background,1.1,0,0,2020
Rhineland-Palatinate,DERP014,Hunsrück-Leisel,rural area,background,1,0,0,2020
Rhineland-Palatinate,DERP015,Westeifel Wascheid,rural area,background,1.1,0,0,2020
