NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
10102,St. John's,NL,354 Water Street,47.56038,-52.71147,7,"PE,LU,P4,R",DMean,0.4,1.4,2.6,4.1,6.8,8.4,10.9,13.4,15.9,17.5,25.6,25.6,98.630136986,5.5,4.8,8.1,5.5,5.8,6.8,4.3,4,4.7,4.9,4,5.2,5.34,3.991871987,2018
10401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,135,"PE,LU,P3,R",DMean,0.2,0.5,0.8,1.1,1.6,2,2.9,4,6.3,7.4,16.7,16.7,96.712328767,1.3,0.8,0.8,1.3,1.2,1.2,1,1.1,1.3,2.2,2.5,3.7,1.55,1.586350737,2018
10501,Grand Falls-Windsor,NL,Scott Avenue,48.92696,-55.65966,62,"PE,SU,P3,I",DMean,0.2,0.4,0.6,0.7,1,1.4,1.8,2.3,2.6,2.9,3.7,3.7,87.397260274,1,1.2,1.2,0.5,0.6,0.8,0.7,0.6,0.7,,1.4,1.5,0.94,0.616658116,2018
10602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,100,"PE,SU,P3,R",DMean,0.3,1.2,1.8,2.4,3.2,3.7,4.7,5.5,6.5,7.4,8.7,8.7,96.438356164,2.3,3,2.3,2.8,2.6,3.1,2.9,2.7,2.5,2.9,2.6,2.9,2.71,1.443136056,2018
10901,Burin,NL,18 Hwy 220 (Main St.),47.09899,-55.19852,1,"RB,NU,P2,R",DMean,0,0.1,0.2,0.3,0.5,0.6,0.7,0.8,1.4,1.6,2.1,2.1,81.095890411,,,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.5,0.6,,,2018
11002,Labrador City,NL,317 Hudson Drive,52.945487,-66.910306,558,"PS,SU,P2,R",DMean,0.2,0.6,1.2,1.7,2.4,3.3,5.7,7.6,9.5,13.3,22.2,22.2,97.260273973,4.1,3.2,3.6,1.6,0.8,1.5,1.6,2,1.4,2.1,4,4.2,2.52,2.6741137,2018
20104,Charlottetown,PE,3 Brighton Road,46.233,-63.13667,21,"T,MU,P3,R",DMean,0,0.5,0.9,1.3,2,2.6,3.9,5.2,7.4,9,11.6,11.6,98.904109589,2.7,2.6,2.4,1.7,1.2,1.1,0.9,0.9,1.6,1.5,2.8,2.9,1.85,1.681944199,2018
20301,Wellington,PE,40 Route 125 (Hackmatack Road),46.47843,-63.98763,6,"RB,NU,P2,F",DMean,0,0.1,0.3,0.4,0.6,0.7,1,1.3,1.6,1.9,3,3,96.98630137,0.7,0.8,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.6,0.6,0.49,0.399864121,2018
20401,Southampton,PE,2580 Route 313 (Cardigan Road),46.38635,-62.58272,30,"RB,NU,P1,A",DMean,0,0,0.3,0.5,0.6,0.8,0.9,1.1,1.7,2,2.2,2.2,75.342465753,0.7,0.7,0.3,0.7,0.7,0.5,0.5,0.5,,,0,,,,2018
30113,Halifax,NS,1672 Granville Street,44.64711,-63.57366,28,"PE,LU,P4,R",DMean,0.5,2.3,3.8,5.2,6.8,7.8,9.2,10.9,11.8,12.9,19.9,19.9,98.630136986,6.2,7,4.7,5.9,6,4.7,4.5,5.7,5.7,4.9,5.2,6.3,5.55,2.74253717,2018
