NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
10102,St. John's,NL,354 Water Street,47.56038,-52.71147,7,"PE,LU,P4,R",DMean,6,16,20,25,30,33,35,38,39,40,41,41,99.726775956,29,26,34,35,28,21,18,21,22,21,25,25,25.3,7.597748222,2020
10401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,135,"PE,LU,P3,R",DMean,12,18,22,27,33,35,37,38,39,40,40,40,99.453551913,30,35,36,36,29,23,19,21,23,24,27,28,27.54,7.187785307,2020
10501,Grand Falls-Windsor,NL,Scott Avenue,48.92696,-55.65966,62,"PE,SU,P3,I",DMean,11,18,23,29,35,37,40,41,43,44,48,48,98.633879781,35,38,39,38,30,23,19,20,23,24,28,29,28.94,8.380527971,2020
10601,Happy Valley-Goose Bay,NL,Abbot Street,53.306,-60.36314,39,"PE,SU,P2,I",DMean,9,17,21,28,33,35,37,39,40,41,43,43,99.453551913,35,34,36,35,28,21,17,18,19,22,28,29,26.9,7.890059427,2020
10602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,100,"PE,SU,P3,R",DMean,10,16,22,27,33,35,37,38,40,41,43,43,100,34,36,36,33,27,21,16,20,22,22,27,28,26.76,7.821862839,2020
10801,Port Aux Choix,NL,Port Au Choix (Town Hall),50.7123,-57.36421,13,"RB,NU,P2,F",DMean,12,16,21,26,31,32,33,34,35,36,39,39,92.349726776,32,32,32,32,24,20,18,19,22,23,28,28,25.57,6.319178603,2020
10901,Burin,NL,18 Hwy 220 (Main St.),47.09899,-55.19852,1,"RB,NU,P2,R",DMean,14,20,27,30,34,35,37,39,41,43,45,45,92.076502732,35,38,34,33,27,22,24,26,30,28,32,29,29.52,6.616871978,2020
11002,Labrador City,NL,317 Hudson Drive,52.945487,-66.910306,558,"PS,SU,P2,R",DMean,15,24,32,38,45,49,54,57,59,60,65,65,82.513661202,,,47,51,53,43,29,26,27,31,36,39,,,2020
20104,Charlottetown,PE,3 Brighton Road,46.233,-63.13667,21,"T,MU,P3,R",DMean,12,17,22,26,29,32,35,36,37,39,41,41,97.81420765,23,26,33,34,27,25,19,23,21,24,27,26,25.61,6.310200628,2020
20301,Wellington,PE,40 Route 125 (Hackmatack Road),46.47843,-63.98763,6,"RB,NU,P2,F",DMean,10,17,22,28,34,36,39,40,41,42,44,44,99.180327869,32,36,39,37,29,25,19,21,21,24,26,27,27.79,8.194533218,2020
