city,lat,lon,co,Year
Fort Smith                                                                                          ,60.00455,-111.893241,0.06,2015
St Johns                                                                                            ,47.56038,-52.71147,0.17,2015
Mount Pearl                                                                                         ,47.50513,-52.79476,0.21,2015
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,0.13,2015
Corner Brook                                                                                        ,48.95224,-57.92207,0.15,2015
Marystown                                                                                           ,47.09899,-55.19852,0.13,2015
Halifax                                                                                             ,44.646425,-63.573383,0.2,2015
Sydney                                                                                              ,46.14222,-60.17252,0.17,2015
Fredericton                                                                                         ,45.957318,-66.646719,0.23,2015
Saint John                                                                                          ,45.269677,-66.06151,0.19,2015
Moncton                                                                                             ,46.101578,-64.789661,0.19,2015
Montréal                                                                                            ,45.502648,-73.663913,0.28,2015
Laval                                                                                               ,45.547463,-73.7483166,0.23,2015
Montréal                                                                                            ,45.501531,-73.574311,0.34,2015
Montréal                                                                                            ,45.468322,-73.741198,0.2,2015
Montréal                                                                                            ,45.5934,-73.63726,0.26,2015
Gatineau                                                                                            ,45.435987,-75.723429,0.21,2015
Quebec                                                                                              ,46.821177,-71.220495,0.22,2015
Saint-Anicet                                                                                        ,45.120624,-74.2896,,2015
L'assomption                                                                                        ,45.80942,-73.43473,0.22,2015
Lemieux                                                                                             ,46.3037,-72.060685,0.22,2015
Ottawa                                                                                              ,45.43433,-75.676,0.2,2015
Windsor                                                                                             ,42.315778,-83.043667,0.26,2015
Toronto                                                                                             ,43.709444,-79.5435,0.25,2015
Hamilton                                                                                            ,43.25778,-79.86167,0.25,2015
Winnipeg                                                                                            ,49.93207,-97.11317,0.19,2015
Winnipeg                                                                                            ,49.89799,-97.14653,0.2,2015
Regina                                                                                              ,50.4527,-104.616,0.2,2015
Saskatoon                                                                                           ,52.13613,-106.66293,,2015
Edmonton                                                                                            ,53.5001,-113.5261,0.18,2015
Edmonton                                                                                            ,53.54823,-113.36811,0.21,2015
Edmonton                                                                                            ,53.54445,-113.49884,0.26,2015
Calgary                                                                                             ,51.079222,-114.141828,0.21,2015
Calgary                                                                                             ,51.04701,-114.07564,,2015
Calgary                                                                                             ,50.955122,-113.969742,0.22,2015
Calgary                                                                                             ,51.0309,-114.0091,,2015
Red Deer                                                                                            ,52.29867,-113.79352,0.22,2015
Medicine Hat                                                                                        ,50.04893,-110.68116,0.16,2015
Lethbridge                                                                                          ,49.71621,-112.8006,0.2,2015
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,0.15,2015
Fort Mcmurray                                                                                       ,56.73341,-111.39047,0.09,2015
Steeper                                                                                             ,53.1325,-117.09111,0.01,2015
Grande Prairie                                                                                      ,55.1766,-118.8078,0.22,2015
Burnaby                                                                                             ,49.279214,-122.970707,0.22,2015
Port Moody                                                                                          ,49.280893,-122.849291,0.28,2015
Vancouver                                                                                           ,49.282272,-123.12188,0.34,2015
Burnaby                                                                                             ,49.21519,-122.985666,0.23,2015
North Vancouver                                                                                     ,49.301472,-123.020417,0.19,2015
Surrey                                                                                              ,49.132928,-122.694224,0.19,2015
Richmond                                                                                            ,49.141437,-123.108215,0.21,2015
North Vancouver                                                                                     ,49.323994,-123.083496,0.24,2015
Richmond                                                                                            ,49.186265,-123.152422,0.25,2015
Coquitlam                                                                                           ,49.288265,-122.79157,0.22,2015
Vancouver                                                                                           ,49.36861,-123.276741,0.22,2015
Delta                                                                                               ,49.009877,-123.081997,0.14,2015
Vancouver                                                                                           ,49.260267,-123.077776,,2015
Victoria                                                                                            ,48.441942,-123.363165,0.27,2015
Kelowna                                                                                             ,49.862336,-119.477367,0.27,2015
Abbotsford                                                                                          ,49.04258,-122.30982,0.22,2015
Abbotsford                                                                                          ,49.021554,-122.326523,0.2,2015
Chilliwack                                                                                          ,49.155848,-121.940279,0.22,2015
Langley                                                                                             ,49.09561,-122.567104,0.17,2015
Hope                                                                                                ,49.369887,-121.49912,0.16,2015
Maple Ridge                                                                                         ,49.21494,-122.582057,0.22,2015
Ucluelet                                                                                            ,48.921799,-125.541209,0.13,2015
Yellowknife                                                                                         ,62.45207,-114.364,0.34,2015
Inuvik                                                                                              ,68.35702037,-133.7140565,0.24,2015
Mount Pearl                                                                                         ,47.50513,-52.79476,0.16,2016
Saint John                                                                                          ,45.269677,-66.06151,,2016
St Johns                                                                                            ,47.56038,-52.71147,0.15,2016
Ucluelet                                                                                            ,48.921799,-125.541209,0.12,2016
Maple Ridge                                                                                         ,49.21494,-122.582057,0.2,2016
Hope                                                                                                ,49.369887,-121.49912,0.16,2016
Langley                                                                                             ,49.09561,-122.567104,0.16,2016
Chilliwack                                                                                          ,49.155848,-121.940279,0.19,2016
Abbotsford                                                                                          ,49.021554,-122.326523,0.17,2016
Abbotsford                                                                                          ,49.04258,-122.30982,0.2,2016
Kelowna                                                                                             ,49.862336,-119.477367,0.24,2016
Victoria                                                                                            ,48.441942,-123.363165,0.24,2016
Vancouver                                                                                           ,49.260267,-123.077776,0.35,2016
Delta                                                                                               ,49.009877,-123.081997,0.14,2016
Vancouver                                                                                           ,49.36861,-123.276741,0.21,2016
Coquitlam                                                                                           ,49.288265,-122.79157,0.21,2016
Richmond                                                                                            ,49.186265,-123.152422,0.24,2016
North Vancouver                                                                                     ,49.323994,-123.083496,0.22,2016
Richmond                                                                                            ,49.141437,-123.108215,0.2,2016
Surrey                                                                                              ,49.132928,-122.694224,0.17,2016
North Vancouver                                                                                     ,49.301472,-123.020417,0.2,2016
Burnaby                                                                                             ,49.21519,-122.985666,0.22,2016
Vancouver                                                                                           ,49.282272,-123.12188,0.3,2016
Port Moody                                                                                          ,49.280893,-122.849291,0.26,2016
Burnaby                                                                                             ,49.279214,-122.970707,0.21,2016
Grande Prairie                                                                                      ,55.1766,-118.8078,0.21,2016
Steeper                                                                                             ,53.1325,-117.09111,,2016
Fort Mcmurray                                                                                       ,56.73341,-111.39047,0.24,2016
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,0.14,2016
Lethbridge                                                                                          ,49.71621,-112.8006,0.18,2016
Medicine Hat                                                                                        ,50.04893,-110.68116,0.14,2016
Red Deer                                                                                            ,52.29867,-113.79352,0.22,2016
Calgary                                                                                             ,51.0309,-114.0091,0.18,2016
Calgary                                                                                             ,50.955122,-113.969742,0.2,2016
Calgary                                                                                             ,51.079222,-114.141828,0.19,2016
St. Albert                                                                                          ,53.626908,-113.611883,,2016
Edmonton                                                                                            ,53.54445,-113.49884,0.27,2016
Edmonton                                                                                            ,53.54823,-113.36811,0.21,2016
Edmonton                                                                                            ,53.5001,-113.5261,0.21,2016
