city,lat,lon,no2,Year
Fort Saint John                                                                                     ,56.24473,-120.8561,6.18,2015
Norman Wells                                                                                        ,65.27926,-126.813057,1.87,2015
Inuvik                                                                                              ,68.35702037,-133.7140565,2.96,2015
Fort Smith                                                                                          ,60.00455,-111.893241,1.89,2015
Ucluelet                                                                                            ,48.921799,-125.541209,0.73,2015
Courtenay                                                                                           ,49.682603,-124.996222,4.44,2015
Whitehorse                                                                                          ,60.71972,-135.05875,5.29,2015
Yellowknife                                                                                         ,62.45207,-114.364,3.07,2015
Longdale                                                                                            ,49.438848,-123.479185,5.51,2015
Whistler                                                                                            ,50.144285,-122.960402,4.04,2015
Duncan                                                                                              ,48.784854,-123.715846,4.53,2015
Vernon                                                                                              ,50.260617,-119.270723,9.82,2015
Mission                                                                                             ,49.14149,-122.311078,7.64,2015
Castlegar                                                                                           ,49.317698,-117.661527,,2015
Williams Lake                                                                                       ,52.14428,-122.150391,,2015
Terrace                                                                                             ,54.52167,-128.6075,,2015
Smithers                                                                                            ,54.783308,-127.177324,,2015
Powell River                                                                                        ,49.866905,-124.521819,2.18,2015
Nanaimo                                                                                             ,49.20083,-123.99389,5.87,2015
Quesnel                                                                                             ,52.981686,-122.493227,7.47,2015
Squamish                                                                                            ,49.70516,-123.15133,,2015
Squamish                                                                                            ,49.700098,-123.154216,6.58,2015
Maple Ridge                                                                                         ,49.21494,-122.582057,8.09,2015
Hope                                                                                                ,49.369887,-121.49912,7.05,2015
Langley                                                                                             ,49.09561,-122.567104,6.49,2015
Pitt Meadows                                                                                        ,49.245233,-122.70889,8.85,2015
Chilliwack                                                                                          ,49.155848,-121.940279,8.85,2015
Abbotsford                                                                                          ,49.021554,-122.326523,7.6,2015
Abbotsford                                                                                          ,49.04258,-122.30982,9.75,2015
Kelowna                                                                                             ,49.862336,-119.477367,7.09,2015
Kamloops                                                                                            ,50.67477,-120.334016,11.2,2015
Victoria                                                                                            ,48.42369,-123.49432,,2015
Victoria                                                                                            ,48.441942,-123.363165,8.59,2015
Prince George                                                                                       ,53.91472,-122.74194,9.77,2015
Agassiz                                                                                             ,49.238008,-121.762264,8.02,2015
Vancouver                                                                                           ,49.260267,-123.077776,,2015
Delta                                                                                               ,49.009877,-123.081997,6.99,2015
Coquitlam                                                                                           ,49.288265,-122.79157,10.23,2015
Richmond                                                                                            ,49.186265,-123.152422,14.21,2015
North Vancouver                                                                                     ,49.323994,-123.083496,12.18,2015
Richmond                                                                                            ,49.141437,-123.108215,11.51,2015
Surrey                                                                                              ,49.132928,-122.694224,9.07,2015
Burnaby                                                                                             ,49.279809,-122.922267,7.79,2015
Delta                                                                                               ,49.158348,-122.90173,13.69,2015
North Vancouver                                                                                     ,49.301472,-123.020417,12.59,2015
Burnaby                                                                                             ,49.21519,-122.985666,13.84,2015
Vancouver                                                                                           ,49.282272,-123.12188,18.36,2015
Port Moody                                                                                          ,49.280893,-122.849291,12.63,2015
Burnaby                                                                                             ,49.279214,-122.970707,11.81,2015
Anzac                                                                                               ,56.44928,-111.03722,2.04,2015
St Lina                                                                                             ,54.2165,-111.5026,2.11,2015
Cold Lake                                                                                           ,54.414013889,-110.232938889,3.72,2015
Sunnybrook                                                                                          ,53.4243,-114.3749,5.25,2015
Thorsby                                                                                             ,53.633,-114.4199,2.15,2015
Warburg                                                                                             ,53.53,-114.6361,6.9,2015
Hinton                                                                                              ,53.427301,-117.544067,7.23,2015
Genesee                                                                                             ,53.3016,-114.2211,3.4,2015
Edson                                                                                               ,53.593771,-116.395822,8.01,2015
Bretton                                                                                             ,53.0903,-114.46061,3.8,2015
Redwater                                                                                            ,53.84369,-113.09922,11.22,2015
Lamont                                                                                              ,53.76036,-112.88017,4.79,2015
Bitumont                                                                                            ,57.24933,-111.5085,9.43,2015
Grande Prairie                                                                                      ,55.1766,-118.8078,9.69,2015
Caroline                                                                                            ,51.94687,-114.69744,2.58,2015
Fort Chipewyan                                                                                      ,58.70879,-111.17683,1.58,2015
Steeper                                                                                             ,53.1325,-117.09111,0.6,2015
Carrot Creek                                                                                        ,53.621062,-115.869155,4.84,2015
Beaverlodge                                                                                         ,55.19634,-119.39682,3.34,2015
Violet Grove                                                                                        ,53.14222,-115.13806,3.94,2015
Tomahawk                                                                                            ,53.37255,-114.76835,4.01,2015
Elk Island                                                                                          ,53.68238,-112.86812,2.72,2015
Wapasu                                                                                              ,57.26176,-111.037,3.06,2015
Fort Mckay                                                                                          ,57.1492,-111.6424,5.33,2015
Fort Mckay                                                                                          ,57.18941,-111.6405,6.53,2015
Fort Mcmurray                                                                                       ,56.969267,-111.40065,,2015
Fort Mcmurray                                                                                       ,56.75139,-111.47662,4.99,2015
Fort Mcmurray                                                                                       ,56.73341,-111.39047,8.1,2015
Bruderheim                                                                                          ,53.7999878,-112.92781,6.07,2015
Fort Saskatchewan                                                                                   ,53.71622,-113.19994,8,2015
Fort Saskatchewan                                                                                   ,53.75236,-113.12589,6.67,2015
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,8.87,2015
