city,lat,lon,o3,Year
Mount Pearl                                                                                         ,47.50513,-52.79476,30.48,2015
St Johns                                                                                            ,47.56038,-52.71147,30.16,2015
Snare Rapids                                                                                        ,63.50825,-116.00867,29.32,2015
Iqaluit                                                                                             ,63.751619,-68.522433,20.32,2015
Inuvik                                                                                              ,68.35702037,-133.7140565,24.91,2015
Norman Wells                                                                                        ,65.27926,-126.813057,23.58,2015
Yellowknife                                                                                         ,62.45207,-114.364,24.73,2015
Whitehorse                                                                                          ,60.71972,-135.05875,26.03,2015
Courtenay                                                                                           ,49.682603,-124.996222,17.79,2015
Ucluelet                                                                                            ,48.921799,-125.541209,27.72,2015
Fort Saint John                                                                                     ,56.24473,-120.8561,23.91,2015
Whistler                                                                                            ,50.144285,-122.960402,20.27,2015
Duncan                                                                                              ,48.784854,-123.715846,17.97,2015
Vernon                                                                                              ,50.260617,-119.270723,17.89,2015
Mission                                                                                             ,49.14149,-122.311078,20.56,2015
Castlegar                                                                                           ,49.317698,-117.661527,,2015
Nelson                                                                                              ,49.49055,-117.295381,,2015
Williams Lake                                                                                       ,52.14428,-122.150391,,2015
Smithers                                                                                            ,54.783308,-127.177324,16.53,2015
Nanaimo                                                                                             ,49.20083,-123.99389,21.14,2015
Saturna                                                                                             ,48.78333,-123.13333,27.29,2015
Quesnel                                                                                             ,52.981686,-122.493227,17.83,2015
Squamish                                                                                            ,49.70516,-123.15133,,2015
Squamish                                                                                            ,49.700098,-123.154216,16.11,2015
Maple Ridge                                                                                         ,49.21494,-122.582057,18.54,2015
Hope                                                                                                ,49.369887,-121.49912,18.9,2015
Langley                                                                                             ,49.09561,-122.567104,19.71,2015
Pitt Meadows                                                                                        ,49.245233,-122.70889,16.66,2015
Chilliwack                                                                                          ,49.155848,-121.940279,16.7,2015
Abbotsford                                                                                          ,49.021554,-122.326523,18.62,2015
Abbotsford                                                                                          ,49.04258,-122.30982,18.08,2015
Kelowna                                                                                             ,49.862336,-119.477367,22.98,2015
Kamloops                                                                                            ,50.67477,-120.334016,20.25,2015
Victoria                                                                                            ,48.42369,-123.49432,20.45,2015
Victoria                                                                                            ,48.441942,-123.363165,18.9,2015
Prince George                                                                                       ,53.91472,-122.74194,,2015
Agassiz                                                                                             ,49.238008,-121.762264,19.04,2015
Vancouver                                                                                           ,49.260267,-123.077776,,2015
Delta                                                                                               ,49.009877,-123.081997,21.77,2015
Coquitlam                                                                                           ,49.288265,-122.79157,16.22,2015
Richmond                                                                                            ,49.186265,-123.152422,16.14,2015
North Vancouver                                                                                     ,49.323994,-123.083496,15.9,2015
