state_measuring_network,Year,SO2
Baden-Württemberg                                 ,2015,1.759
Bavaria                                           ,2015,2.784615384615385
Berlin                                            ,2015,1.8
Brandenburg                                       ,2015,1.8857142857142857
Bremen                                            ,2015,1.8166666666666667
Hamburg                                           ,2015,4.3
Hesse                                             ,2015,1.0881818181818181
Lower Saxony                                      ,2015,0.9642857142857142
Mecklenburg-West Pomerania                        ,2015,1.295
North Rhine-Westphalia                            ,2015,4.577777777777778
Rhineland-Palatinate                              ,2015,1.51875
Saarland                                          ,2015,3.7375
Saxony                                            ,2015,3.4499999999999997
Saxony-Anhalt                                     ,2015,1.8427272727272723
Schleswig-Holstein                                ,2015,1.2000000000000002
Thuringia                                         ,2015,1.1
UBA                                               ,2015,0.67
Baden-Württemberg                                 ,2016,1.6970000000000003
Bavaria                                           ,2016,2.8538461538461535
Berlin                                            ,2016,1.7000000000000002
Brandenburg                                       ,2016,2.0714285714285716
Bremen                                            ,2016,1.5833333333333333
Hamburg                                           ,2016,4.516666666666667
Hesse                                             ,2016,1.002727272727273
Lower Saxony                                      ,2016,0.8714285714285713
Mecklenburg-West Pomerania                        ,2016,1.2725
North Rhine-Westphalia                            ,2016,4.111111111111111
Rhineland-Palatinate                              ,2016,1.3375000000000001
Saarland                                          ,2016,2.8000000000000003
Saxony                                            ,2016,3
Saxony-Anhalt                                     ,2016,1.802727272727273
Schleswig-Holstein                                ,2016,1.2000000000000002
Thuringia                                         ,2016,1.098
UBA                                               ,2016,0.7157142857142856
Baden-Württemberg                                 ,2017,1.8425000000000002
Bavaria                                           ,2017,3.2699999999999996
Berlin                                            ,2017,1.6
Brandenburg                                       ,2017,1.92
Bremen                                            ,2017,1.4666666666666666
Hamburg                                           ,2017,4.416666666666667
Hesse                                             ,2017,1.0509090909090908
Lower Saxony                                      ,2017,0.89
Mecklenburg-West Pomerania                        ,2017,1.2812500000000002
North Rhine-Westphalia                            ,2017,4.433333333333334
Rhineland-Palatinate                              ,2017,1.2937499999999997
Saarland                                          ,2017,2.8625000000000003
Saxony                                            ,2017,2.8777777777777778
Saxony-Anhalt                                     ,2017,1.4569999999999999
Schleswig-Holstein                                ,2017,1.02
Thuringia                                         ,2017,1.08
UBA                                               ,2017,0.6528571428571429
Baden-Württemberg                                 ,2018,1.6700000000000002
Berlin                                            ,2018,1.2000000000000002
Brandenburg                                       ,2018,1.9400000000000002
Bremen                                            ,2018,1.8166666666666664
Hamburg                                           ,2018,4.3999999999999995
Hesse                                             ,2018,1.0127272727272727
Mecklenburg-West Pomerania                        ,2018,1.1887500000000002
North Rhine-Westphalia                            ,2018,4.166666666666668
Rhineland-Palatinate                              ,2018,1.2687500000000003
Saarland                                          ,2018,2.8124999999999996
Saxony                                            ,2018,2.8777777777777778
Saxony-Anhalt                                     ,2018,1.6800000000000002
Schleswig-Holstein                                ,2018,1.075
Thuringia                                         ,2018,1.22
UBA                                               ,2018,0.7599999999999999
Baden-Württemberg                                 ,2019,1.345
Berlin                                            ,2019,1.2
Brandenburg                                       ,2019,1.8200000000000003
Bremen                                            ,2019,1.4800000000000002
Hamburg                                           ,2019,3.8833333333333333
Hesse                                             ,2019,0.9299999999999998
Mecklenburg-West Pomerania                        ,2019,1.1722222222222223
North Rhine-Westphalia                            ,2019,5.416666666666667
Rhineland-Palatinate                              ,2019,1.175
Saarland                                          ,2019,2.742857142857143
Saxony                                            ,2019,2.1555555555555554
Saxony-Anhalt                                     ,2019,1.2855555555555556
Schleswig-Holstein                                ,2019,1
Thuringia                                         ,2019,0.998
UBA                                               ,2019,0.6
Baden-Württemberg                                 ,2020,1.4575
Brandenburg                                       ,2020,1.6599999999999997
Bremen                                            ,2020,1.1849999999999998
Hamburg                                           ,2020,3.9
Hesse                                             ,2020,0.9336363636363636
Mecklenburg-West Pomerania                        ,2020,1.0077777777777777
North Rhine-Westphalia                            ,2020,5.5
Rhineland-Palatinate                              ,2020,1.14375
Saarland                                          ,2020,2.6285714285714286
Saxony                                            ,2020,1.828888888888889
Saxony-Anhalt                                     ,2020,1.4855555555555557
Schleswig-Holstein                                ,2020,0.87
Thuringia                                         ,2020,0.9299999999999999
UBA                                               ,2020,0.6133333333333334
