fips,full,year,CO
1,Alabama,2013,12.0656349677419355
1,Alabama,2014,9.4117458092868988
1,Alabama,2015,9.0785802066666667
1,Alabama,2016,9.5248731946308725
2,Alaska,2014,11.6585096089385475
2,Alaska,2015,11.1165885993640700
4,Arizona,2000,26.4875015898748578
4,Arizona,2001,22.7447234286501377
4,Arizona,2002,23.6650538903047091
4,Arizona,2003,23.1011512341095028
4,Arizona,2004,20.1343773219293326
4,Arizona,2005,21.3601092130239002
4,Arizona,2006,20.8346899625455751
4,Arizona,2007,19.3301993911684252
4,Arizona,2008,18.2506670845632230
4,Arizona,2009,17.1562880548424737
4,Arizona,2010,15.9167119558323896
4,Arizona,2011,16.6153360067302299
4,Arizona,2012,17.8318033673577884
4,Arizona,2013,15.4795276670061100
4,Arizona,2014,16.1123432236244321
4,Arizona,2015,12.7049951422944362
4,Arizona,2016,15.8111950117647059
5,Arkansas,2007,10.7817447335164835
5,Arkansas,2008,8.9913949289617486
5,Arkansas,2009,9.1463370602739726
5,Arkansas,2010,10.0047488375000000
5,Arkansas,2011,9.9821338109589041
5,Arkansas,2012,10.5688275522898154
5,Arkansas,2013,9.7916792575342466
5,Arkansas,2014,8.8620507561643836
5,Arkansas,2015,8.6128328708791209
5,Arkansas,2016,8.6611127912087912
6,California,2000,17.5809890152342627
6,California,2001,17.7608221702264850
6,California,2002,16.7551279074283366
6,California,2003,15.7946417772532422
6,California,2004,15.1511409766602574
6,California,2005,13.9656642114974341
6,California,2006,14.0164587602773795
6,California,2007,13.0760233424934603
6,California,2008,12.9773577357341260
6,California,2009,12.8731854575350140
6,California,2010,12.2472690780986763
6,California,2011,12.2828515112524723
6,California,2012,11.0712653118246935
6,California,2013,11.7618607247906198
6,California,2014,10.8839530020536291
6,California,2015,10.2690615128798490
6,California,2016,8.1017439243636364
8,Colorado,2000,14.9024689890410959
8,Colorado,2001,25.7834007165109034
8,Colorado,2002,19.7693132099447514
8,Colorado,2003,21.0730784678747941
8,Colorado,2004,21.6452082507288630
8,Colorado,2005,24.1765817873170732
8,Colorado,2006,24.6447351386292835
8,Colorado,2007,23.8350248321377331
8,Colorado,2008,19.0809724709103354
8,Colorado,2009,14.2308469375000000
8,Colorado,2010,16.1711378419811321
8,Colorado,2011,17.5264909733124019
8,Colorado,2012,20.3209036290322581
8,Colorado,2013,14.3426910295238095
8,Colorado,2014,16.9041573748555581
8,Colorado,2015,20.0391454448705657
8,Colorado,2016,23.6238202862453532
9,Connecticut,2006,17.4441664651162791
9,Connecticut,2007,12.6199946542750929
9,Connecticut,2008,10.5423814603015075
9,Connecticut,2009,10.8606800241563055
9,Connecticut,2010,9.7390281273408240
9,Connecticut,2011,8.5333611053621825
9,Connecticut,2012,7.2763090317757009
9,Connecticut,2013,7.4113358390677026
9,Connecticut,2014,7.2374522162471396
9,Connecticut,2015,8.0451036106604867
10,Delaware,2011,11.0712329761904762
10,Delaware,2012,12.4681779075268817
10,Delaware,2013,10.7921268837209302
10,Delaware,2014,11.6793194522613065
10,Delaware,2015,10.0754217692307692
10,Delaware,2016,13.7710554523809524
11,District Of Columbia,2000,22.7257173076923077
11,District Of Columbia,2001,24.4743111833810888
11,District Of Columbia,2002,24.4410358027397260
11,District Of Columbia,2003,22.6407543490304709
11,District Of Columbia,2004,20.9564037252747253
11,District Of Columbia,2005,20.8367883591160221
