fips,full,year,NO2
1,Alabama,2013,0.01209883870967741935
1,Alabama,2014,0.02466014925373134328
1,Alabama,2015,0.02399996666666666667
1,Alabama,2016,0.02834774496644295302
2,Alaska,2014,0.01030657541899441341
2,Alaska,2015,0.01421763275039745628
4,Arizona,2000,0.02365524345847554039
4,Arizona,2001,0.02162845234159779614
4,Arizona,2002,0.02280311800554016620
4,Arizona,2003,0.02250849087476400252
4,Arizona,2004,0.02261438194054963545
4,Arizona,2005,0.02373842777970211292
4,Arizona,2006,0.02520401093801789857
4,Arizona,2007,0.02424744314185228605
4,Arizona,2008,0.02557417790187475070
4,Arizona,2009,0.02538516569428238040
4,Arizona,2010,0.02590345639864099660
4,Arizona,2011,0.02681297588334268087
4,Arizona,2012,0.02651262998405103668
4,Arizona,2013,0.02797265885947046843
4,Arizona,2014,0.02655903230691569914
4,Arizona,2015,0.02814385081240768095
4,Arizona,2016,0.02213734705882352941
5,Arkansas,2007,0.02474064285714285714
5,Arkansas,2008,0.02488974043715846995
5,Arkansas,2009,0.02448718904109589041
5,Arkansas,2010,0.02764992013888888889
5,Arkansas,2011,0.02746128219178082192
5,Arkansas,2012,0.02788392344497607656
5,Arkansas,2013,0.02557740821917808219
5,Arkansas,2014,0.02385150684931506849
5,Arkansas,2015,0.02433493131868131868
5,Arkansas,2016,0.02600959340659340659
6,California,2000,0.02367472239149180799
6,California,2001,0.02484430394132344644
6,California,2002,0.02634220373985410459
6,California,2003,0.02564763969830158989
6,California,2004,0.02597869125868954297
6,California,2005,0.02511942063080205270
6,California,2006,0.02627356637504754660
6,California,2007,0.02667019805291119441
6,California,2008,0.02697637649237366600
6,California,2009,0.02615671254901960784
6,California,2010,0.02566866522262334537
6,California,2011,0.02614416282674934516
6,California,2012,0.02687241471409493748
6,California,2013,0.02607265365717476270
6,California,2014,0.02695688012673825031
6,California,2015,0.02755119085317581146
6,California,2016,0.02530094290909090909
8,Colorado,2000,0.01706601643835616438
8,Colorado,2001,0.01637624922118380062
8,Colorado,2002,0.02060418600368324125
8,Colorado,2003,0.01941373476112026359
8,Colorado,2004,0.01720207288629737609
8,Colorado,2005,0.01881846926829268293
8,Colorado,2006,0.02049410903426791277
8,Colorado,2007,0.02169165853658536585
8,Colorado,2008,0.02560883025325119781
8,Colorado,2009,0.02678281875000000000
8,Colorado,2010,0.02295454952830188679
8,Colorado,2011,0.02784538775510204082
